companyname,datadate,tradingitemid,Factor_VALUE,Factor_QUALITY
POSCO,29/02/2016,20217184,1.403835292,-0.610382302
Petronas Dagangan Bhd,29/02/2016,20217261,-0.629949307,0.567564596
Pou Chen Corporation,29/02/2016,20217264,0.446099406,-0.169316999
Glenmark Pharmaceuticals Ltd.,29/02/2016,20217346,-1.197806741,0.109182073
Uni-President Enterprises Corporation,29/02/2016,20217400,0.011431917,-0.097007727
UPL Limited,29/02/2016,20217431,0.250996591,-0.289253478
"SECOM CO.,LTD.",29/02/2016,20217438,0.045702521,0.120944261
"Sekisui Chemical Co., Ltd.",29/02/2016,20217478,0.55757153,0.197991924
Sekisui House Ltd.,29/02/2016,20217481,0.51866798,0.037255529
PT Semen Indonesia (Persero) Tbk,29/02/2016,20217502,0.223528643,0.58452104
Sinopec Shanghai Petrochemical Co. Ltd.,29/02/2016,20217548,0.358091146,0.85186336
Shoprite Holdings Ltd.,29/02/2016,20217661,0.055549266,0.906223268
"Foxconn Technology Co., Ltd.",29/02/2016,20217670,0.769654415,0.219392444
Shimamura Co. Ltd.,29/02/2016,20217775,0.251598777,-0.063351706
Shikoku Electric Power Co. Inc.,29/02/2016,20217793,-0.115925439,-1.152441871
Shimadzu Corporation,29/02/2016,20217795,-0.058459927,0.198420323
Shimizu Corp.,29/02/2016,20217796,0.412255919,-0.137158311
"Shin-Etsu Chemical Co., Ltd.",29/02/2016,20217809,0.313246367,-0.021561915
"Shionogi & Co., Ltd.",29/02/2016,20217816,-0.667431167,0.303919587
Stanley Electric Co. Ltd.,29/02/2016,20218016,0.371356896,0.006679067
Sumitomo Chemical Co. Ltd.,29/02/2016,20218161,0.609410652,-0.219686731
Sumitomo Electric Industries Ltd.,29/02/2016,20218165,0.5564765,-0.240355277
"Sumitomo Heavy Industries, Ltd.",29/02/2016,20218166,0.62474661,-0.067576134
"Sumitomo Metal Mining Co., Ltd.",29/02/2016,20218170,0.050041026,-0.265726884
Sumitomo Realty & Development Co. Ltd.,29/02/2016,20218173,0.051483961,-1.301054451
Sumitomo Corporation,29/02/2016,20218174,0.488163211,-1.023392571
Sumitomo Rubber Industries Ltd.,29/02/2016,20218177,0.754164999,0.068825047
Sun Hung Kai Properties Limited,29/02/2016,20218190,0.461348398,-0.328266499
Hyundai Development Company Engineering & Construction,29/02/2016,20218252,0.446726674,-0.124406178
PT Hanjaya Mandala Sampoerna Tbk,29/02/2016,20218279,-2.865400432,3.169983164
Hamamatsu Photonics k.k.,29/02/2016,20218339,-0.327870225,0.130041938
S-Oil Corporation,29/02/2016,20218342,0.206664604,-0.20077505
Hanwha Chemical Corp.,29/02/2016,20218414,0.317296715,-0.581582424
Hang Seng Bank Limited,29/02/2016,20218439,0.070273492,0.545320044
Samsung Securities Co. Ltd.,29/02/2016,20218441,0.774889143,0.919024063
Hankyu Hanshin Holdings Inc.,29/02/2016,20218445,0.324359973,-0.54679335
Charoen Pokphand Foods Public Co. Ltd.,29/02/2016,20218554,0.465852206,-0.508867596
Dr. Reddy's Laboratories Ltd.,29/02/2016,20218559,-0.320609373,0.675922752
"Fubon Financial Holding Co., Ltd.",29/02/2016,20218578,0.56173675,-0.271012796
Hua Nan Financial Holdings Co. Ltd.,29/02/2016,20218595,0.472750503,-0.286734039
Advanced Info Service Public Company Limited,29/02/2016,20218619,-1.190909483,3.350190426
James Hardie Industries plc,29/02/2016,20218628,2.957726904,2.910140976
Lotte Chemical Corporation,29/02/2016,20218727,0.626425153,0.210373294
"Hotel Shilla Co.,Ltd.",29/02/2016,20218737,-2.578536386,-0.702078991
Capitec Bank Holdings Ltd.,29/02/2016,20218758,-0.786582535,1.129133192
Air Water Inc.,29/02/2016,20218774,0.444038422,-0.107836298
Hoya Corp.,29/02/2016,20218775,-0.149189179,0.5995788
Bharti Airtel Limited,29/02/2016,20218797,0.239108907,-0.332294281
Mega Financial Holding Company Ltd.,29/02/2016,20218835,0.411574543,-0.194424814
"Hyundai Heavy Industries Co., Ltd.",29/02/2016,20218869,2.234896403,-1.101530985
"Hyundai Mobis Co.,Ltd.",29/02/2016,20218913,0.731971032,0.088463445
SK Hynix Inc.,29/02/2016,20218927,0.820801018,0.917321621
"Hyundai Engineering & Construction Co., Ltd.",29/02/2016,20218942,0.772046555,-0.134969613
Hyundai Motor Company,29/02/2016,20218944,0.81116972,-0.396827651
"Largan Precision Co., Ltd.",29/02/2016,20218965,-0.405570662,2.95379619
"Taishin Financial Holding Co., Ltd.",29/02/2016,20218966,0.700836564,-0.828578349
"Shin Kong Financial Holding Co., Ltd.",29/02/2016,20218990,0.744914187,-1.803937755
Imperial Pacific International Holdings Limited,29/02/2016,20219049,-1.895170293,-3.618386525
PT Indocement Tunggal Prakarsa Tbk,29/02/2016,20219082,-0.060911558,0.739673614
China Everbright Ltd.,29/02/2016,20219086,0.135790323,-0.231769266
JGC Corp.,29/02/2016,20219110,0.463618758,-0.137978538
Jollibee Foods Corp.,29/02/2016,20219132,-1.290410027,0.508741987
Japan Tobacco Inc.,29/02/2016,20219134,-0.191213484,0.865090946
"Mebuki Financial Group, Inc.",29/02/2016,20219295,0.603642953,-0.689366555
"Aeon Co., Ltd.",29/02/2016,20219304,0.363115635,-0.586617385
Kajima Corporation,29/02/2016,20219352,0.223191097,-0.357232598
"Kamigumi Co.,Ltd.",29/02/2016,20219394,0.469676159,-0.623559304
Kaneka Corporation,29/02/2016,20219420,0.475109272,-0.153716034
"The Kansai Electric Power Company, Incorporated",29/02/2016,20219424,1.15668223,-1.644609384
Kansai Paint Co. Ltd.,29/02/2016,20219435,0.228172326,0.075190442
Kao Corporation,29/02/2016,20219438,-0.515298673,0.555338665
Kawasaki Heavy Industries Ltd.,29/02/2016,20219469,0.540212903,-0.083888775
Kerry Properties Ltd.,29/02/2016,20219538,0.597075981,-0.51708737
Sinopac Financial Holdings Company Limited,29/02/2016,20219564,0.635990601,-0.397132033
"CTBC Financial Holding Co., Ltd.",29/02/2016,20219627,0.721369922,-0.056683983
Japan Prime Realty Investment Corp.,29/02/2016,20219645,-1.151385469,-0.58793911
PT Surya Citra Media Tbk,29/02/2016,20219656,-2.138640252,2.451053944
Geely Automobile Holdings Ltd.,29/02/2016,20219746,0.433975616,0.041586388
"AEON Mall Co., Ltd.",29/02/2016,20219814,0.314450492,-0.424062555
Lotte Confectionery Co. Ltd.,29/02/2016,20219875,-1.165946648,-0.422570264
"Lotte Chilsung Beverage Co., Ltd.",29/02/2016,20219876,-0.681095514,-0.526256335
China Resources Gas Group Limited,29/02/2016,20219879,0.16521245,0.126579834
BOC Hong Kong (Holdings) Limited,29/02/2016,20219903,0.427077705,0.048555924
BYD Company Ltd.,29/02/2016,20219913,-0.566256558,-0.242967196
"Hanssem Co., Ltd.",29/02/2016,20219914,-1.853055698,1.468693985
LG Corp.,29/02/2016,20219923,0.513161483,-0.13644216
"NH Investment & Securities Co., Ltd.",29/02/2016,20219925,0.790384223,-0.750447971
GS Engineering & Construction Corporation,29/02/2016,20219926,-0.558725536,-0.765670305
PT Summarecon Agung Tbk,29/02/2016,20219969,-0.205975118,0.339739376
Essilor International SA,29/02/2016,20220108,-0.704090757,0.94432131
Jumbo SA,29/02/2016,20220384,0.414302569,0.450979056
Snam S.p.A.,29/02/2016,20220438,0.071243039,-0.507085942
Credit Agricole S.A.,29/02/2016,20220479,0.740469396,-0.686739327
Swiss Life Holding AG,29/02/2016,20220804,0.782727863,0.862745906
Unione di Banche Italiane S.p.A.,29/02/2016,20221074,0.275066769,-0.901046024
Telecom Italia S.p.A.,29/02/2016,20221167,0.864245596,-1.070489723
EMS-Chemie Holding AG,29/02/2016,20221181,-1.189240029,1.558330588
Atlantia SpA,29/02/2016,20221288,-0.133389154,-0.567039155
Getinge AB,29/02/2016,20221422,-0.265378691,-0.46580947
"JFE Holdings, Inc.",29/02/2016,20221705,0.761367299,-0.439462578
Sohgo Security Services Co. Ltd.,29/02/2016,20221790,-0.373070573,0.076170966
Mabuchi Motor Co. Ltd.,29/02/2016,20221912,0.039076659,0.010006628
DENSO Corporation,29/02/2016,20222067,0.437155439,-0.074702346
NEC Corporation,29/02/2016,20222069,0.403155914,-0.313481784
"Nippon Paint Holdings Co., Ltd.",29/02/2016,20222074,0.38686569,0.47672262
Nidec Corporation,29/02/2016,20222081,-0.268754857,0.078104252
NH Foods Limited,29/02/2016,20222085,0.463883672,-0.130292253
Nisshin Seifun Group Inc.,29/02/2016,20222093,-0.081059968,-0.240940593
Nippon Telegraph and Telephone Corporation,29/02/2016,20222116,0.499040016,-0.212851406
NSK Ltd.,29/02/2016,20222125,0.609331384,0.179524626
"Nissin Foods Holdings Co., Ltd",29/02/2016,20222137,-0.064070887,-0.181034379
Nippon Express Co. Ltd.,29/02/2016,20222147,0.437028383,-0.399839907
Nikon Corporation,29/02/2016,20222151,0.10649232,-0.270244649
Yamaha Corporation,29/02/2016,20222154,0.297925584,0.069463013
NOK Corporation,29/02/2016,20222155,0.70957212,0.180324732
Nippon Steel & Sumitomo Metal Corporation,29/02/2016,20222163,0.729628848,-0.400554611
Nippon Electric Glass Co. Ltd.,29/02/2016,20222167,0.322345757,-0.498774334
Hitachi High-Technologies Corporation,29/02/2016,20222170,0.563135066,0.103050049
Nissan Motor Co. Ltd.,29/02/2016,20222173,0.673899386,-0.380406897
Nippon Yusen Kabushiki Kaisha,29/02/2016,20222213,0.825496688,-0.592697972
Nitori Holdings Co.Ltd.,29/02/2016,20222225,-0.166990438,0.683465407
"Oriental Land Co., Ltd.",29/02/2016,20222291,-0.764608666,0.385104907
PT Bank Mandiri (Persero) Tbk,29/02/2016,20222365,0.279844238,0.591031619
Qatar Islamic Bank (Q.S.C.),29/02/2016,20222490,0.097474529,-0.01558342
QBE Insurance Group Limited,29/02/2016,20222559,0.389519126,0.41371205
Great Wall Motor Company Ltd.,29/02/2016,20222609,0.594353019,1.155987013
Formosa Petrochemical Corp.,29/02/2016,20222621,-0.277965296,-0.393868132
China Life Insurance Co. Ltd.,29/02/2016,20222630,0.36046415,0.359062766
PT Perusahaan Gas Negara (Persero) Tbk,29/02/2016,20222686,0.600299167,-0.930087165
United Urban Investment Corporation,29/02/2016,20222847,-0.851279267,-0.648324367
Zijin Mining Group Co. Ltd.,29/02/2016,20222898,0.19082236,-0.594166647
Challenger Limited,29/02/2016,20222944,0.457881623,-0.642208129
"Shandong Weigao Group Medical Polymer Co., Limited",29/02/2016,20223025,0.102308596,0.27639657
Semiconductor Manufacturing International Corp.,29/02/2016,20223064,-0.940293989,0.610013577
Weichai Power Co. Ltd,29/02/2016,20223072,0.570237381,-0.328737363
Motherson Sumi Systems Ltd.,29/02/2016,20223074,-1.004519626,0.793389697
"T&D Holdings, Inc.",29/02/2016,20223090,0.740986726,0.033611708
Robinsons Land Corp.,29/02/2016,20223108,-0.086736215,-0.117806567
Ruentex Development Co. Ltd.,29/02/2016,20223161,-0.357974775,-0.307436756
RMB Holdings Ltd.,29/02/2016,20223203,0.456763567,0.921499516
Ruentex Industries Limited,29/02/2016,20223216,-0.385374637,-0.284827009
Anglo American Platinum Limited,29/02/2016,20223240,1.006050981,-0.564946837
SMC Corp.,29/02/2016,20223261,0.054636794,0.252325553
"Haitong Securities Co., Ltd.",29/02/2016,20223342,0.361777555,0.756489677
Suruga Bank Ltd.,29/02/2016,20223491,0.194495852,-0.004287416
"Suzuken Co., Ltd.",29/02/2016,20223512,0.411042285,-0.250162561
Swire Pacific Limited,29/02/2016,20223528,0.511513337,-0.40320924
Telekom Malaysia Berhad,29/02/2016,20223533,-0.309374801,-0.356173401
Synnex Technology International Corporation,29/02/2016,20223534,0.401157721,-0.361163322
Taiwan Cement Corp.,29/02/2016,20223580,0.419565781,-0.465306082
Taisei Corporation,29/02/2016,20223589,0.430597516,0.144459948
Takashimaya Co. Ltd.,29/02/2016,20223608,0.563332599,-0.315126442
Takeda Pharmaceutical Company Limited,29/02/2016,20223611,1.26635089,-0.658102747
Mitsubishi Tanabe Pharma Corporation,29/02/2016,20223642,0.013344123,-0.072391018
BTS Group Holdings Public Company Limited,29/02/2016,20223685,-1.635957641,-0.262514589
Tabcorp Holdings Ltd.,29/02/2016,20223718,0.326294308,0.16800181
True Corporation Public Company Limited,29/02/2016,20223777,-0.212304053,-0.542815232
TECO Electric & Machinery Co. Ltd.,29/02/2016,20223870,0.439977544,-0.243336175
Sodexo S.A.,29/02/2016,20223941,-0.014856137,0.755801916
Novo Nordisk A/S,29/02/2016,20224168,-3.378872238,3.013608003
AXA SA,29/02/2016,20224269,0.642421315,0.004913453
Porsche Automobil Holding SE,29/02/2016,20224327,1.618046725,-0.627350238
Novartis AG,29/02/2016,20224333,-0.164424928,-0.21237275
Peugeot S.A.,29/02/2016,20224336,0.41229059,0.402591189
Greek Organisation of Football Prognostics S.A.,29/02/2016,20224385,0.306233247,1.151107405
ABB Ltd.,29/02/2016,20224413,0.181879402,0.022337757
Roche Holding AG,29/02/2016,20224426,-1.381504787,1.377942049
LafargeHolcim Ltd.,29/02/2016,20224430,0.556311926,-0.669632429
Industria de Diseno Textil SA,29/02/2016,20224435,-1.491698815,1.948927429
Bâloise Holding AG,29/02/2016,20224569,0.650777206,-1.128909677
LPP Spolka Akcyjna,29/02/2016,20224593,-0.546911077,0.719514456
Banca Monte dei Paschi di Siena S.p.A.,29/02/2016,20224603,1.323512093,-2.795463974
Statoil ASA,29/02/2016,20224701,1.158594115,-0.881141123
JCDecaux SA,29/02/2016,20224727,-0.497595545,0.287343396
Skanska AB (publ),29/02/2016,20224756,0.095090779,0.307439946
Enel SpA,29/02/2016,20224771,-0.161301529,-1.918950617
Eni SpA,29/02/2016,20224792,1.211762588,-2.263915224
Public Power Corporation S.A.,29/02/2016,20224883,1.746661062,-0.251949215
Zodiac Aerospace,29/02/2016,20225065,-0.202301406,0.032481059
BNP Paribas SA,29/02/2016,20225162,0.765092019,-0.4522
OTP Bank Plc.,29/02/2016,20225197,-0.298343679,-0.802655405
Alfa Laval AB (publ),29/02/2016,20225275,0.054374703,0.324031139
Lonza Group Ltd,29/02/2016,20225281,-0.455793811,-0.06094451
Galenica Ltd.,29/02/2016,20225780,-0.768358498,0.580919737
Aberdeen Asset Management PLC,29/02/2016,20235224,0.377118493,0.205318254
Hammerson plc,29/02/2016,20235377,-0.225541363,-0.069484023
Standard Chartered PLC,29/02/2016,20235378,2.436311594,-1.31419708
SABMiller plc,29/02/2016,20235418,-0.683052358,-0.359351324
HSBC Holdings plc,29/02/2016,20235440,0.703757041,-0.427026802
Rio Tinto plc,29/02/2016,20235491,0.356208888,-1.692525682
Alfa S.A.B de C.V,29/02/2016,20235605,1.395787011,-0.598236394
Braskem S.A.,29/02/2016,20235713,-0.354150461,2.387162779
Centrais Elétricas Brasileiras S.A. - Eletrobras,29/02/2016,20235750,0.88687099,-1.146933305
Gerdau S.A.,29/02/2016,20235888,1.176127244,-0.949820833
America Movil S.A.B. de C.V.,29/02/2016,20235901,-0.905381569,-1.163459573
Barclays PLC,29/02/2016,20236047,-0.998023129,-1.108297137
Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.,29/02/2016,20236224,0.09514823,0.019011486
LVMH Moët Hennessy Louis Vuitton S.E.,29/02/2016,20236271,0.036603848,1.003241431
RTL Group SA,29/02/2016,20236277,-0.065834793,1.211624052
"EDP-Energias de Portugal, S.A.",29/02/2016,20236348,0.515930266,-0.389149771
Commerzbank AG,29/02/2016,20236877,0.653193719,-1.022812638
Syngenta AG,29/02/2016,20236925,-0.362172772,0.185731083
KBC Group NV,29/02/2016,20237254,0.462239167,0.093717916
Compagnie Generale DES Etablissements Michelin SCA,29/02/2016,20237547,0.492944263,0.577213752
National Bank of Greece S.A.,29/02/2016,20237597,1.334123397,-3.922895897
Renault SA,29/02/2016,20237801,0.615776339,0.332773336
Rémy Cointreau SA,29/02/2016,20237859,-0.488884698,0.23952797
Merck KGaA,29/02/2016,20237861,-0.258925722,0.083742106
MOL Magyar Olaj- es Gazipari Nyilvanosan Mukodo Reszvenytarsasag,29/02/2016,20237863,0.813001365,-0.39037653
RWE AG,29/02/2016,20237922,0.892072094,-0.493141854
E.ON SE,29/02/2016,20238356,0.96015225,-2.283333968
METRO AG,29/02/2016,20238846,1.404739999,-0.773178158
Hellenic Telecommunications Organization SA,29/02/2016,20238928,0.247024594,-0.366136459
Stora Enso Oyj,29/02/2016,20239016,0.367401533,-0.165284335
Henkel AG & Co. KGaA,29/02/2016,20239021,-0.157529069,0.870694431
Allianz SE,29/02/2016,20239323,0.575486665,-0.052411782
Koninklijke Ahold Delhaize N.V.,29/02/2016,20239385,0.133591837,0.782110416
Deutsche Lufthansa Aktiengesellschaft,29/02/2016,20239461,0.86168113,0.89220766
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft,29/02/2016,20239474,0.666436352,-0.010151764
Nordea Bank AB (publ),29/02/2016,20239659,-2.626700042,-0.076450916
Akzo Nobel N.V.,29/02/2016,20239888,0.222225558,0.483665842
Bank Pekao S.A.,29/02/2016,20239946,0.054984407,-0.231530374
"Banco Bilbao Vizcaya Argentaria, S.A.",29/02/2016,20240012,0.403626103,-0.682486863
MAN SE,29/02/2016,20240100,-0.336917743,-0.526755209
Sanofi,29/02/2016,20240333,0.125887031,0.290473517
"Banco Santander, S.A.",29/02/2016,20240441,0.745967016,-0.351866945
"Telefónica, S.A.",29/02/2016,20240490,0.213517634,-0.388662883
Deutsche Telekom AG,29/02/2016,20240683,-0.076509283,-0.485879476
Banco Popular Espanol S.A.,29/02/2016,20240717,0.107957383,-0.983801368
Zurich Insurance Group AG,29/02/2016,20241087,0.554637412,-0.560001061
"AEON Financial Service Co., Ltd.",29/02/2016,20241218,0.30422272,0.058679683
AMMB Holdings Berhad,29/02/2016,20241249,0.613084991,-0.141217664
Australia & New Zealand Banking Group Limited,29/02/2016,20241281,0.460584713,0.121570679
Westpac Banking Corporation,29/02/2016,20241304,0.162712323,0.193815157
Barloworld Ltd.,29/02/2016,20241311,0.792817596,-0.076093616
Truworths International Ltd.,29/02/2016,20241441,-0.14631578,1.905880243
BHP Billiton Limited,29/02/2016,20241564,1.610469403,-1.464945854
Cathay Pacific Airways Limited,29/02/2016,20241713,0.683163149,-0.464118241
"Chubu Electric Power Company, Incorporated",29/02/2016,20241759,0.752152167,0.081997745
Rio Tinto Limited,29/02/2016,20241843,0.162746615,-1.70617889
Jardine Cycle & Carriage Limited,29/02/2016,20241886,0.336909831,-0.410708349
RHB Capital Berhad,29/02/2016,20241896,0.668248708,-0.417238545
Daiwa Securities Group Inc.,29/02/2016,20241917,0.692593039,-0.591035855
First Pacific Company Limited,29/02/2016,20242112,-1.564903614,-0.579109961
Genting Singapore PLC,29/02/2016,20242199,-0.898222346,-1.034568546
Hongkong Land Holdings Limited,29/02/2016,20242313,0.141339214,-0.311495433
The Wharf (Holdings) Limited,29/02/2016,20242315,0.604136645,-0.337831183
YTL Corporation Berhad,29/02/2016,20242317,0.430144918,-0.835536343
Hong Leong Financial Group Berhad,29/02/2016,20242318,0.529174552,0.001014033
Hysan Development Company Limited,29/02/2016,20242338,0.088987973,-0.292185533
IJM Corporation Berhad,29/02/2016,20242349,0.33754027,-0.315094159
"Kirin Holdings Company, Limited",29/02/2016,20242431,0.507301921,-0.428007957
Kobe Steel Ltd.,29/02/2016,20242435,0.628765415,-0.358543428
Kuala Lumpur Kepong Berhad,29/02/2016,20242442,-0.113271748,-0.180311876
Kubota Corporation,29/02/2016,20242443,0.304848575,0.058970128
"Kyushu Electric Power Company, Incorporated",29/02/2016,20242448,0.973867283,-2.760344638
Malayan Banking Berhad,29/02/2016,20242570,0.338964644,-0.029935308
Lafarge Malaysia Berhad,29/02/2016,20242574,-0.265461029,-0.346798711
Alliance Financial Group Berhad,29/02/2016,20242591,0.383549463,-0.204401134
"Marui Group Co., Ltd.",29/02/2016,20242613,-0.030061349,-0.563421947
Mitsubishi Corporation,29/02/2016,20242666,0.354079915,-0.750270514
"Mitsui Chemicals, Inc.",29/02/2016,20242667,0.564898512,-0.362238659
FirstRand Limited,29/02/2016,20242683,0.160699739,0.98846557
National Australia Bank Limited,29/02/2016,20242718,0.398926437,-0.04189753
New World Development Company Limited,29/02/2016,20242732,0.763588522,-0.414395335
Taiyo Nippon Sanso Corporation,29/02/2016,20242746,0.340694581,-0.374303533
Nitto Denko Corporation,29/02/2016,20242750,0.422029624,0.581777684
"Minebea Co., Ltd.",29/02/2016,20242753,0.597975149,0.418838841
"Nomura Holdings, Inc.",29/02/2016,20242754,0.76207251,-1.530745494
Olympus Corporation,29/02/2016,20242785,-0.044946265,-0.184945758
Doosan Corporation,29/02/2016,20242789,1.000327681,-0.960746372
PPB Group Berhad,29/02/2016,20242828,-0.694414591,-0.521118037
"Shinsei Bank, Limited",29/02/2016,20242928,0.844324478,-0.270047248
British American Tobacco Malaysia Bhd,29/02/2016,20242957,-3.578309692,-0.223556547
"Ryohin Keikaku Co., Ltd.",29/02/2016,20242961,-0.618440937,0.52608752
Samsung Electronics Co. Ltd.,29/02/2016,20242977,0.728105368,0.231066398
"Sanrio Company, Ltd.",29/02/2016,20242983,-0.177684129,0.561222608
Santos Limited,29/02/2016,20242984,0.875310611,-2.308622101
Shanghai Industrial Holdings Limited,29/02/2016,20243026,0.695946066,-0.480741768
Singapore Airlines Limited,29/02/2016,20243027,0.387411615,-0.061746237
Standard Foods Corporation,29/02/2016,20243065,-0.452866122,0.7705961
Suzuki Motor Corporation,29/02/2016,20243077,0.496848486,0.066503717
"THK Co., Ltd.",29/02/2016,20243079,0.522147428,-0.164041714
TDK Corporation,29/02/2016,20243081,0.546593091,-0.06109143
Spark New Zealand Limited,29/02/2016,20243101,0.07386965,0.711904296
TMB Bank Public Company Limited,29/02/2016,20243113,0.328820851,0.049273942
Brait SE,29/02/2016,20243131,-1.555140335,3.899204622
"Toyo Seikan Group Holdings, Ltd.",29/02/2016,20243140,1.302624549,-0.537519033
UMW Holdings Bhd,29/02/2016,20243154,0.226883445,-0.441977927
Guangdong Investment Ltd.,29/02/2016,20243159,-0.350799478,-0.437961221
Woodside Petroleum Ltd.,29/02/2016,20243213,0.262296899,-1.292615776
Yokogawa Electric Corp.,29/02/2016,20243226,0.515366927,0.248265863
Groupe Bruxelles Lambert SA,29/02/2016,20243334,0.526250471,-0.00390565
Adecco Group AG,29/02/2016,20243355,0.229625754,0.415380261
Nestlé S.A.,29/02/2016,20243371,-0.20603913,0.43031933
Credit Suisse Group AG,29/02/2016,20243452,0.892208652,-0.819962213
Kinnevik AB,29/02/2016,20243771,-0.344840373,-0.312557006
China Shipping Container Lines Company Limited,29/02/2016,20243873,-1.096848979,-0.995130312
Techtronic Industries Company Limited,29/02/2016,20243876,-2.268496386,0.549050084
Tencent Holdings Limited,29/02/2016,20243894,-2.633209621,0.791608211
"ACS, Actividades de Construcción y Servicios, S.A.",29/02/2016,20243908,0.463071111,-0.037561129
Singapore Telecommunications Limited,29/02/2016,20244000,0.0707266,-0.103843616
Air China Limited,29/02/2016,20245349,0.673223766,-0.23020224
SK Networks Company Ltd.,29/02/2016,20245506,0.387979239,-0.629586458
Synthos S.A.,29/02/2016,20257410,0.381021216,0.040515235
Coca-Cola Icecek A.S.,29/02/2016,20258226,-1.863751138,-0.412096683
Hakuhodo DY Holdings Inc,29/02/2016,20296765,0.248098511,0.175190479
Eurocash SA,29/02/2016,20406425,-0.877181673,0.763360528
"GungHo Online Entertainment, Inc.",29/02/2016,20406426,0.329385071,1.395712217
Molson Coors Brewing Company,29/02/2016,20476046,-0.862612644,-0.907241367
KOC Holding A.S.,29/02/2016,20814662,0.562013017,0.289829739
Neste Oyj,29/02/2016,21876975,0.147585977,0.510716995
Raiffeisen Bank International AG,29/02/2016,21920230,1.22233274,-1.417477911
Inotera Memories Inc.,29/02/2016,21946968,0.624543764,0.195963405
Glow Energy Public Company Limited,29/02/2016,21969839,0.265960545,0.001763509
SEEK Limited,29/02/2016,22024152,-0.328238459,0.736152665
Controladora Comercial Mexicana SAB DE CV,29/02/2016,22033445,0.244355768,-0.496628363
Mirvac Group,29/02/2016,22033636,0.241013253,-0.762481115
Sydney Airport Limited,29/02/2016,22033663,-2.874362258,-1.238215966
PT Bank Negara Indonesia (Persero) Tbk,29/02/2016,22033683,0.437732371,0.221812211
Stockland Corporation Limited,29/02/2016,22033687,0.246508183,0.626644578
ageas SA/NV,29/02/2016,22033697,0.684726003,0.77696534
Shanghai Electric Group Company Limited,29/02/2016,22091776,0.276486625,-0.179965904
Cobham plc,29/02/2016,22260568,2.76008676,-0.228909331
Safran SA,29/02/2016,22308474,1.32464025,0.844017912
Localiza Rent a Car S.A.,29/02/2016,22319559,0.334532363,0.099983812
Imperial Holdings Limited,29/02/2016,22428492,0.720288862,0.008990829
Royal Dutch Shell plc,29/02/2016,22428504,-1.074738646,-1.703141694
Ford Otomotiv Sanayi AS,29/02/2016,22505273,0.059180118,0.910692483
KONE Oyj,29/02/2016,22505300,-0.984237768,2.718067918
ENKA Insaat ve Sanayi AS,29/02/2016,22531302,0.506705622,0.540340234
Turkcell Iletisim Hizmetleri AS,29/02/2016,22531304,0.174413959,0.229770291
Inmarsat Plc,29/02/2016,22576247,-0.499430913,-0.141507924
Grupa LOTOS Spólka Akcyjna,29/02/2016,22612123,1.116633848,-0.647073132
China Shenhua Energy Co. Ltd.,29/02/2016,22637682,0.683798952,-0.126978028
"Bank of Communications Co., Ltd.",29/02/2016,22710896,0.809917403,0.074894713
Tatts Group Limited,29/02/2016,22726033,0.04157157,-0.003163072
Liberty Global plc,29/02/2016,22743070,1.141531464,-2.307514603
ENGIE SA,29/02/2016,22824583,1.29827426,-0.65446773
China COSCO Holdings Company Limited,29/02/2016,22882574,-0.918041685,-1.337894167
Innolux Corporation,29/02/2016,22882580,0.96407469,-0.209856901
Pargesa Holding SA,29/02/2016,22882587,0.413453522,-0.682872446
Ashland Global Holdings Inc.,29/02/2016,22920105,-0.167968802,-0.554050144
Akbank T.A.S.,29/02/2016,22920284,0.551295009,-0.052814199
Turkiye Garanti Bankasi A.S.,29/02/2016,23018879,0.596589146,-0.022424891
Leonardo - Finmeccanica S.p.a.,29/02/2016,23062244,-0.438688758,-1.62619352
National Grid plc,29/02/2016,23071064,0.093781423,-0.390134308
BIM Birlesik Magazalar A.S.,29/02/2016,23071068,-1.308261085,2.727892746
TOFAS Turk Otomobil Fabrikasi A.S.,29/02/2016,23090448,0.048468123,0.460425493
Expedia Inc.,29/02/2016,23133968,-0.4921896,0.488929454
Turkiye Is Bankasi A.S.,29/02/2016,23210798,0.872424957,-0.018715464
Joint Stock Company NOVATEK,29/02/2016,23210806,-0.569428807,0.144568115
Oversea-Chinese Banking Corporation Limited,29/02/2016,23268392,0.471730451,-0.137170163
AAC Technologies Holdings Inc.,29/02/2016,23329681,-0.598152474,1.360024912
Alstom SA,29/02/2016,23350344,0.588064126,-1.178844081
"Seven & i Holdings Co., Ltd.",29/02/2016,23374263,0.122510622,-0.122395883
"Baidu, Inc.",29/02/2016,23428255,-0.543335905,0.385078122
"CF Industries Holdings, Inc.",29/02/2016,23515113,0.382211435,-0.483391166
Koninklijke DSM N.V.,29/02/2016,23692079,-1.335668151,-0.394441538
"Daiichi Sankyo Company, Limited",29/02/2016,23708889,0.079637956,-0.252333421
BANDAI NAMCO Holdings Inc.,29/02/2016,23733697,0.456704156,0.194865546
Mitsubishi Chemical Holdings Corporation,29/02/2016,23770162,0.397832845,-0.291191672
"Ameriprise Financial, Inc.",29/02/2016,23895633,0.410010264,-0.105862424
Polskie Gornictwo Naftowe I Gazownictwo Spolka Akcyjna,29/02/2016,23954069,0.643130503,-0.028154962
Yapi Ve Kredi Bankasi AS,29/02/2016,24011036,0.739966984,-0.356687546
